HypothesisID,Description,Status,RelevantFiles,Correction
H01,"Server returns low-res preview 32x32x16 as fixed volume",Confirmed,packages/services/src/quasar_services/analysis/analysis_engine.py,"Implemented progressive LOD multi-resolution bricking with dynamic LOD selection"
H02,"Depth resolution is too low hiding internal structures",Confirmed,packages/services/src/quasar_services/analysis/analysis_engine.py,"Upgraded to native 31-level Copernicus depth extraction and non-uniform coordinate mapping"
H03,"All requested days return identical data or stale cache",Confirmed,packages/services/src/quasar_services/analysis/router.py,"Integrated time_index and dataset checksum into cache keys and generation tokens"
H04,"Stale frontend cache key omits time_index",Confirmed,apps/web/src/context/app_store.ts,"Added activeGeneration and temporal timestamp to cache key invalidation schema"
H05,"Stale GPU texture not replaced upon timeline scrub",Confirmed,packages/renderer-webgpu/src/residency/residency_adapter.ts,"Implemented generation-tracked atomic texture replacement and disposal"
H06,"Shader samples proxy cube bounding box positions instead of 3D scalar texture",Confirmed,packages/renderer-webgpu/src/shaders/volume_raymarch.wgsl.ts,"Rebuilt front-to-back 3D raymarching with texture3D scalar sampling and transfer LUT"
H07,"Shader reads uninitialized or placeholder texture",Confirmed,packages/renderer-webgpu/src/resources/resource_manager.ts,"Enforced synchronous CPU-to-GPU staging buffer verification before render pass"
H08,"Texture is 2D slice instead of true 3D volume",Confirmed,packages/renderer-webgl2/src/resources/resource_manager.ts,"Configured 3D volumetric textures across WebGPU (texture_3d) and WebGL2 (TEXTURE_3D)"
H09,"3D texture uploaded in wrong axis permutation",Confirmed,packages/renderer-webgpu/src/pipeline/raymarching_renderer.ts,"Standardized (depth, lat, lon) C-contiguous axis ordering with verified probe voxels"
H10,"Row-major vs column-major indexing mismatch",Confirmed,packages/services/src/quasar_services/analysis/analysis_engine.py,"Enforced explicit C-contiguous byte buffer serialization across backend and client"
H11,"Missing values and land cells rendered as opaque ocean",Confirmed,packages/renderer-webgpu/src/shaders/volume_raymarch.wgsl.ts,"Added wet-mask evaluation and transparent NaN/fill-value discards in raymarch loop"
H12,"Sub-seafloor volume not clipped by bathymetry",Confirmed,packages/renderer-webgpu/src/shaders/volume_raymarch.wgsl.ts,"Integrated GEBCO bathymetric depth surface collision and sub-seafloor ray termination"
H13,"UI panels overlap viewport and obscure controls",Confirmed,apps/web/src/App.tsx,"Redesigned grid layout with collapsible sidebars, z-index hierarchy, and responsive constraints"
H14,"Application stuck in perpetual PROBING",Confirmed,apps/web/src/context/app_store.ts,"Fixed readiness probe polling and state machine transition from PROBING to READY"
