Requirement ID,Task,Expected Result,Actual Result,Classification,Responsible Agent,Commands,Exit Codes,Evidence Paths,Defect,Severity,Release-blocking at Discovery,Current Release-blocking Status,Correction Commit,Retest Command,Retest Exit Code,Retest Evidence,Limitation,Final Disposition
REQ-T12-01,TASK-12,5 Native NetCDF files with full SHA-256 match,5 files verified with NIST SHA-256,VERIFIED,Agent F2,python scripts/verify_task12.py,0,reports/program-closeout/evidence/task12_evidence.json,None,LOW,false,false,N/A,python scripts/verify_task12.py,0,reports/program-closeout/evidence/task12_evidence.json,None,APPROVED
REQ-T12-02,TASK-12,5 Zarr-3 stores at bitwise float parity,5 Zarr stores verified delta=0.0,VERIFIED,Agent F2,python scripts/verify_task12.py,0,reports/program-closeout/evidence/task12_evidence.json,None,LOW,false,false,N/A,python scripts/verify_task12.py,0,reports/program-closeout/evidence/task12_evidence.json,None,APPROVED
REQ-T12-03,TASK-12,686 visualization brick payloads verified,686 bin.zst payloads verified,VERIFIED,Agent F2,python scripts/verify_task12.py,0,reports/program-closeout/evidence/task12_evidence.json,None,LOW,false,false,N/A,python scripts/verify_task12.py,0,reports/program-closeout/evidence/task12_evidence.json,None,APPROVED
REQ-T13-01,TASK-13,FastAPI endpoints mounted for analysis,5 endpoints mounted and tested,VERIFIED,Agent F3,python tests/test_analysis_router_extensions.py,0,reports/program-closeout/evidence/backend_live_api_evidence.json,Missing /transect and /slice,HIGH,true,false,4860e67,python tests/test_analysis_router_extensions.py,0,reports/program-closeout/evidence/backend_live_api_evidence.json,None,APPROVED
REQ-T13-02,TASK-13,TEOS-10 derived soundings with ADR-0005 label,GSW calculations labeled scientifically derived,VERIFIED,Agent F3,python tests/test_task13_14_scientific_analysis_and_collocation.py,0,reports/program-closeout/program_closeout_01f_backend_and_live_api_verification.md,None,LOW,false,false,N/A,python tests/test_task13_14_scientific_analysis_and_collocation.py,0,reports/program-closeout/program_closeout_01f_backend_and_live_api_verification.md,None,APPROVED
REQ-T13-03,TASK-13,React analytical UI components mounted,Transect/Slice/TS/Teos10 mounted in App.tsx,VERIFIED,Agent F4,npm test -- apps/web/test/,0,reports/program-closeout/evidence/apps_web_tests.log,None,LOW,false,false,N/A,npm test -- apps/web/test/,0,reports/program-closeout/evidence/apps_web_tests.log,None,APPROVED
REQ-T14-01,TASK-14,Argo ensemble ingested with DMQC separation,3 Arabian Sea profiles ingested,VERIFIED,Agent F5,python scripts/ingest_argo_ensemble.py,0,reports/program-closeout/evidence/program_closeout_01f_reproducibility_evidence.json,None,LOW,false,false,N/A,python scripts/ingest_argo_ensemble.py,0,reports/program-closeout/evidence/program_closeout_01f_reproducibility_evidence.json,3-profile ensemble verifies pipeline only,APPROVED
REQ-T14-02,TASK-14,Observation comparison UI mounted,ObservationComparisonPanel mounted in App.tsx,VERIFIED,Agent F4,npm test -- apps/web/test/,0,reports/program-closeout/evidence/apps_web_tests.log,Missing aria-label on close button,LOW,false,false,4860e67,npm test -- apps/web/test/,0,reports/program-closeout/evidence/apps_web_tests.log,None,APPROVED
REQ-T15-01,TASK-15,3 executable Jupyter notebooks,Notebooks executed cleanly without credentials,VERIFIED,Agent F5,jupyter nbconvert --execute,0,reports/program-closeout/evidence/program_closeout_01f_reproducibility_evidence.json,None,LOW,false,false,N/A,jupyter nbconvert --execute,0,reports/program-closeout/evidence/program_closeout_01f_reproducibility_evidence.json,None,APPROVED
REQ-T15-02,TASK-15,Standalone vector publication figures,SVG and PNG figures verified,VERIFIED,Agent F5,python scripts/generate_publication_figures.py,0,reports/program-closeout/evidence/01_soundings.svg,None,LOW,false,false,N/A,python scripts/generate_publication_figures.py,0,reports/program-closeout/evidence/01_soundings.svg,None,APPROVED
REQ-SEC-01,SECURITY,No committed credentials in Git history,.env excluded and zero leaked secrets,VERIFIED,Agent F1,git log secret scan,0,reports/program-closeout/evidence/program_closeout_01f_commit_reconciliation.json,None,HIGH,true,false,N/A,git log secret scan,0,reports/program-closeout/evidence/program_closeout_01f_commit_reconciliation.json,None,APPROVED
REQ-OPS-01,OPERATIONS,Controlled deployment readiness & probes,/health/live and /health/ready tested 200 OK,VERIFIED,Agent F5,curl /health/ready,0,reports/program-closeout/evidence/program_closeout_01f_reproducibility_evidence.json,None,LOW,false,false,N/A,curl /health/ready,0,reports/program-closeout/evidence/program_closeout_01f_reproducibility_evidence.json,Remote deployment deferred,APPROVED
