Requirement ID,Task,Expected Result,Actual Result,Classification,Agent,Evidence Paths,Commands,Exit Codes,Defect,Correction Commit,Retest Evidence,Limitation,Final Disposition
REQ-T12-01,TASK-12,5 Native NetCDF files with full SHA-256 match,5 files verified with NIST SHA-256,VERIFIED,Agent B,reports/program-closeout/evidence/agent_b_native_netcdf_sha256.json,python scripts/verify_task12.py,0,None,N/A,agent_b_task12_scientific_data_and_payload_certification.md,None,APPROVED
REQ-T12-02,TASK-12,5 Zarr-3 stores at bitwise float parity,5 Zarr stores verified delta=0.0,VERIFIED,Agent B,reports/program-closeout/evidence/agent_b_zarr_parity_results.json,python scripts/verify_task12.py,0,None,N/A,agent_b_task12_scientific_data_and_payload_certification.md,None,APPROVED
REQ-T12-03,TASK-12,686 visualization brick payloads verified,686 bin.zst payloads verified,VERIFIED,Agent B,reports/program-closeout/evidence/agent_b_payload_inventory.json,python scripts/verify_task12.py,0,None,N/A,agent_b_task12_scientific_data_and_payload_certification.md,None,APPROVED
REQ-T13-01,TASK-13,FastAPI endpoints mounted for analysis,5 endpoints mounted and tested,VERIFIED,Agent C,reports/program-closeout/evidence/pytest_output.txt,python tests/test_analysis_router_extensions.py,0,Missing /transect and /slice,4860e67,test_analysis_router_extensions.py,None,APPROVED
REQ-T13-02,TASK-13,TEOS-10 derived soundings with ADR-0005 label,GSW calculations labeled scientifically derived,VERIFIED,Agent C,reports/program-closeout/agent_c_task13_backend_analysis_and_teos10_certification.md,python tests/test_task13_14_scientific_analysis_and_collocation.py,0,None,N/A,agent_c_task13_backend_analysis_and_teos10_certification.md,None,APPROVED
REQ-T13-03,TASK-13,React analytical UI components mounted,Transect/Slice/TS/Teos10 mounted in App.tsx,VERIFIED,Agent D,reports/program-closeout/evidence/test_apps_web.log,npm test -- apps/web/test/,0,None,N/A,agent_d_frontend_browser_gpu_and_accessibility_certification.md,None,APPROVED
REQ-T14-01,TASK-14,Argo ensemble ingested with DMQC separation,3 Arabian Sea profiles ingested,VERIFIED,Agent E,reports/program-closeout/evidence/collocation_metrics.txt,python scripts/ingest_argo_ensemble.py,0,None,N/A,agent_e_task14_argo_and_collocation_certification.md,3-profile ensemble verifies pipeline only,APPROVED
REQ-T14-02,TASK-14,Observation comparison UI mounted,ObservationComparisonPanel mounted in App.tsx,VERIFIED,Agent D,reports/program-closeout/evidence/test_apps_web.log,npm test -- apps/web/test/,0,Missing aria-label on close button,4860e67,test_apps_web.log,None,APPROVED
REQ-T15-01,TASK-15,3 executable Jupyter notebooks,Notebooks executed cleanly without credentials,VERIFIED,Agent F,reports/program-closeout/agent_f_task15_reproducible_research_certification.md,jupyter nbconvert --execute,0,None,N/A,agent_f_task15_reproducible_research_certification.md,None,APPROVED
REQ-T15-02,TASK-15,Standalone vector publication figures,SVG and PNG figures verified,VERIFIED,Agent F,reports/program-closeout/evidence/01_soundings.svg,python scripts/generate_publication_figures.py,0,None,N/A,agent_f_task15_reproducible_research_certification.md,None,APPROVED
REQ-SEC-01,SECURITY,No committed credentials in Git history,.env excluded and zero leaked secrets,VERIFIED,Agent A,reports/program-closeout/evidence/secret_scan.txt,git log secret scan,0,None,N/A,agent_a_repository_security_and_release_forensics.md,None,APPROVED
REQ-OPS-01,OPERATIONS,Controlled deployment readiness & probes,/health/live and /health/ready tested 200 OK,VERIFIED,Agent G,reports/program-closeout/evidence/health_probes.json,curl /health/ready,0,None,N/A,agent_g_build_deployment_operations_and_rollback_certification.md,Remote deployment deferred,APPROVED
